Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2)
Afghanistan,2005,47.8596,3.6579,39.2952,25.6543,12.4146,13.2397,106.6462,
Afghanistan,2010,48.1781,3.874,44.7041,29.1855,14.2498,14.9358,104.8141,
Afghanistan,2017,43.6825,4.0661,55.5956,36.2961,17.6441,18.652,105.7122,652.864
Afghanistan,2020,41.8226,4.2228,59.6274,38.9283,18.9521,19.9763,105.4041,
Albania,2005,26.5009,12.2865,112.6573,3.0868,1.5348,1.552,101.1167,
Albania,2010,22.4551,14.9649,107.5921,2.948,1.463,1.4851,101.5111,
Albania,2017,18.0283,19.0889,105.2616,2.8842,1.4146,1.4696,103.8886,28.748
Albania,2020,17.2359,21.1838,105.0291,2.8778,1.4131,1.4647,103.6536,
Algeria,2005,29.1927,7.0221,13.9183,33.1497,16.3837,16.766,102.3336,
Algeria,2010,27.2828,7.7953,15.1055,35.9775,17.8161,18.1614,101.938,
Algeria,2017,29.6396,9.305,17.3777,41.3892,20.4824,20.9068,102.0717,2381.741
Algeria,2020,30.7835,9.9067,18.4113,43.851,21.6972,22.1538,102.1043,
American Samoa,2000,38.7705,5.4197,287.605,0.0575,,,104.4136,
American Samoa,2005,,,295.59,0.0591,,,,
American Samoa,2010,34.988,6.749,278.185,0.0556,,,102.9574,
American Samoa,2016,33.3418,8.9579,277.995,0.0556,,,103.6101,
American Samoa,2017,,,278.205,0.0556,,,,0.199
American Samoa,2020,,,278.995,0.0558,,,,
Andorra,2005,15.0632,16.0537,167.8021,0.0789,,,109.0459,
Andorra,2010,13.9777,18.594,179.6787,0.0844,,,108.4696,
Andorra,2016,14.4338,19.0387,164.4277,0.0773,,,102.2981,
Andorra,2017,,,163.7553,0.077,,,,0.468
Andorra,2020,,,164.2213,0.0772,,,,
Angola,2005,46.884,3.9544,15.588,19.4336,9.7941,9.6395,98.4209,
Angola,2010,47.0416,3.7607,18.7345,23.3562,11.807,11.5493,97.8175,
Angola,2017,46.953,3.5797,23.9166,29.8168,15.0675,14.7493,97.8886,1246.7
Angola,2020,46.3954,3.6579,26.3626,32.8663,16.6054,16.2609,97.9252,
Anguilla,2001,27.6966,10.1548,126.3556,0.0114,,,97.2867,
Anguilla,2005,,,140.4222,0.0126,,,,
Anguilla,2010,,,152.9889,0.0138,,,,
Anguilla,2011,23.295,7.5509,155.0111,0.014,,,97.5503,
Anguilla,2017,,,165.6556,0.0149,,,,0.091
Anguilla,2020,,,169.8111,0.0153,,,,
Antigua and Barbuda,2005,26.5071,9.8165,185.1477,0.0815,0.0428,0.0386,90.1896,
Antigua and Barbuda,2010,24.34,10.7375,200.0636,0.088,0.0459,0.0421,91.7364,
Antigua and Barbuda,2017,22.2319,12.7712,216.8773,0.0954,0.0494,0.046,93.0156,0.442
Antigua and Barbuda,2020,21.8505,14.0888,222.5659,0.0979,0.0507,0.0473,93.3082,
Argentina,2005,27.28,13.5952,14.2117,38.8929,19.9956,18.8974,94.5078,
Argentina,2010,26.036,14.2133,14.9435,40.8958,20.997,19.8988,94.7695,
Argentina,2017,24.9268,15.1301,16.0548,43.9371,22.5173,21.4198,95.1258,2780.4
Argentina,2020,24.4353,15.5345,16.5148,45.1958,23.1466,22.0491,95.2586,
Armenia,2005,21.4615,14.3771,104.7162,2.9813,1.5794,1.4019,88.7601,
Armenia,2010,19.4607,14.7881,101.0649,2.8773,1.531,1.3464,87.9414,
Armenia,2017,20.4544,16.7716,103.4349,2.9448,1.5594,1.3854,88.8379,29.743
Armenia,2020,20.8323,18.4537,104.083,2.9632,1.5695,1.3937,88.8027,
Aruba,2005,21.4733,12.6141,555.7278,0.1,0.0525,0.0476,90.6966,
Aruba,2010,20.8736,15.4796,564.8278,0.1017,0.0532,0.0485,91.0996,
Aruba,2017,17.9802,19.7009,585.3667,0.1054,0.0553,0.05,90.4298,0.18
Aruba,2020,17.3819,21.8225,593.1444,0.1068,0.0561,0.0506,90.2323,
Australia,2005,19.8148,17.4165,2.6266,20.1785,10.1085,10.0701,99.6201,
Australia,2010,19.0323,18.8436,2.8839,22.1547,11.0753,11.0794,100.0366,
Australia,2017,19.065,20.8116,3.2002,24.5846,12.341,12.2436,99.2113,7692.06
Australia,2020,19.2924,21.7759,3.3193,25.4999,12.8013,12.6986,99.1983,
Austria,2005,15.9718,22.0952,100.1547,8.2537,4.2416,4.0121,94.5884,
Austria,2010,14.7167,23.2676,102.0513,8.4099,4.3113,4.0986,95.0674,
Austria,2017,14.2309,24.7457,107.0259,8.8199,4.4897,4.3302,96.447,83.871
Austria,2020,14.4122,25.6701,109.289,9.0064,4.5667,4.4397,97.2186,
Azerbaijan,2005,26.2295,8.521,103.3004,8.5386,4.3318,4.2068,97.1145,
Azerbaijan,2010,22.8353,8.1149,109.2751,9.0325,4.5574,4.4751,98.1945,
Azerbaijan,2017,23.2877,10.0693,119.1091,9.8453,4.9379,4.9074,99.3816,86.6
Azerbaijan,2020,23.5153,11.6393,122.6642,10.1392,5.0745,5.0647,99.806,
Bahamas,2005,28.1091,8.6268,32.4534,0.3249,0.1671,0.1578,94.4324,
Bahamas,2010,26.8838,9.0071,35.4587,0.3549,0.1829,0.172,94.0294,
Bahamas,2017,22.8741,10.8991,38.1374,0.3818,0.1964,0.1854,94.4079,13.94
Bahamas,2020,21.6013,12.2191,39.2851,0.3932,0.2022,0.1911,94.528,
Bahrain,2005,25.6844,3.4373,1169.9526,0.8892,0.355,0.5341,150.4548,
Bahrain,2010,20.3116,3.5461,1632.7105,1.2409,0.4668,0.7741,165.8161,
Bahrain,2017,19.8415,4.6051,1965.8895,1.4941,0.5542,0.9399,169.5785,0.771
Bahrain,2020,18.2824,5.3029,2238.9145,1.7016,0.6011,1.1005,183.074,
Bangladesh,2005,34.3646,6.6508,1068.1071,139.0355,67.8139,71.2216,105.0251,
Bangladesh,2010,31.9869,7.0118,1133.7131,147.5754,72.5597,75.0157,103.3847,
Bangladesh,2017,28.2246,7.4013,1226.7452,159.6854,78.8164,80.8691,102.6044,147.57
Bangladesh,2020,26.7545,7.9597,1265.1869,164.6894,81.4303,83.2591,102.2459,
Barbados,2005,20.5633,16.1485,642.6116,0.2763,0.1437,0.1326,92.3243,
Barbados,2010,19.743,18.0859,656.1186,0.2821,0.1467,0.1354,92.2594,
Barbados,2017,17.6402,21.3624,665.6558,0.2862,0.148,0.1382,93.3901,0.431
Barbados,2020,16.7603,23.1537,668.314,0.2874,0.1483,0.1391,93.7938,
Belarus,2005,15.5981,18.54,47.1248,9.5621,5.0981,4.464,87.5618,
Belarus,2010,14.8957,19.0625,46.4274,9.4206,5.0408,4.3797,86.8849,
Belarus,2017,16.7079,21.3287,46.5735,9.4502,5.0519,4.3984,87.0642,207.6
Belarus,2020,17.2404,22.6181,46.569,9.4493,5.05,4.3994,87.117,
Belgium,2005,17.1501,22.1143,348.312,10.5469,5.3727,5.1742,96.3069,
